"Número de guía","Número de bulto que se va a agregar","Unidad de medida","Detalle de la sustancia UN3373","Detalle del patógeno/virus","Cantidad de embalajes interiores","Estado físico","Cantidad neta por embalaje interior","Detalle de sustancia refrigerante o que sirve para mantener la viabilidad","Número ONU de la sustancia refrigerante si es MP ","Cantidad neta por bulto","Unidad de medida ","Número de bulto"
"888004897812","1","L","SANGRE, ORINAS","CITOMEGALOVIRUS, HISTOPLASMA","250","Sustancia liquida",,"GEL REFRIGERANTE ","N/A","1","Kg","1"
"888004897812","2","L","SUEROS, ORINAS ","CRIPTOCOCO, HISTOPLASMA","550","Sustancia liquida",,"HIELO SECO ","1845","4","Kg","1"
"888004899609","1","L","SANGRE","HEPATITIS B ","20","Sustancia liquida",,"GEL REFRIGERANTE ","N/A","3","Kg","1"
"888004899609","1","L","SUERO","HEPATITIS B ","142","Sustancia liquida",,"GEL REFRIGERANTE ","N/A","3","Kg","1"
"888004899609","2","L","SUERO ","HEPATITIS B ","142","Sustancia liquida",,"GEL REFRIGERANTRE ","N/A","3","Kg","2"
"888004899609","2","L","SANGRES","HEPATITIS B","20","Sustancia liquida",,"GEL REFRIGERANTE ","N/A","3","Kg","2"
"888004899634","1","L","SUEROS","     HEPATITIS B","142","Sustancia liquida",,"GEL REFRIGERANTE","N/A","3","Kg","1"
"888004899634","1","L","SANGRES","HEPATITIS B ","20","Sustancia liquida",,"GEL REFRIGERANTRE ","N/A","3","Kg","1"
"4904614","1.2","L","SUEROS ","HEPATITIS B","142","Sustancia liquida",,"GEL REFRIGERANTE ","N/A","3","N/A","12"
"4904614","12","L","SANGRES ","HEPÁTITIS B","20","Sustancia liquida",,"GEL REFRIGERANTE ","N/A","3","Kg","12"
"888004905328","1","L","LIQUIDO AMNIOTICO","HEPATITIS B ","2","Sustancia liquida",,"N/A","N/A","1","Kg","1"
"888004912199","1","L","SANGRE ","INFLUENZA  VIRUS ","1","Sustancia liquida",,"DRY ICE ","1845","4","Kg","1"
"888004912199","1","L","SANGRE ","INFLUENZA  VIRUS ","1","Sustancia solida",,"DRY ICE ","1845","2","Kg","1"
"888004912293","1","L","SANGRE ","OSPSECHA DE VIRUS","19","Sustancia liquida",,"HIELO SECO ","1845","2","Kg","1"
"888004912293","2","L","SANGRE ","SOSPECHA DE VIRUS","40","Sustancia liquida",,"PILAS DE GEL ","N/A ","0","N/A","1"
"888004913510","1","Kg","PLASMA","RENINA","1","Sustancia solida",,"HIELO SECO","1845","8","Kg","1"
"888004914720","1","L","SUERO ORINA SANGRE","RUBEOLA,OTRO CULTIVO,HEMOGLOBINA","156","Sustancia liquida",,"GEL REFRIGERANTE","N/A","2","Kg","1"
"888004915427","1","L","SUEROS,HISOPADO NASOFARINGEO,LAVADO BRONQUIAL,SANGRE EDTA,SANGRE CON HEPARINA DE SODIO,ESPUTOS,LIQUIDO CEFALORRAQUIDEO","VARICELA,VSR,MYCIBACTERIUM,ELECTRO FORESIS,CARIOTIPO","22","Sustancia liquida",,"GEL REFRIGERANTE","N/A","3","Kg","1"
"888004915570","2","L","SANGRE ","SANGRE ","25","Sustancia liquida",,"DRY ICE","1845","2","Kg","2"
"888004915722","1","Kg","PLASMA","RENINA","1","Sustancia solida",,"HIELO SECO ","UN 1845","4","Kg","1"
"888004915722","2","Kg","SUERO","ACTH","1","Sustancia solida",,"HIELO SECO ","UN 1845","4","Kg","2"
"888004915722","3","Kg","SUERO","QUIMICA","1","Sustancia solida",,"HIELO SECO ","UN 1845","4","Kg","3"
"888004916401","1","L","SUEROS,PLASMAS,SECRECION VAGINAL","HERPES,VIH,VPH","35","Sustancia liquida",,"GEL REFRGERANTE ","N/A","4","Kg","1"
"888004916242","3","L","SUERO SANGUINEO ","CANCER ","18","Sustancia liquida",,"HIELO SECO ","1845","3","Kg","3"
"888004915728","1","L","SUERO PLASMAS SANGRE TOTAL ","INVESTIGACION ","4","Sustancia liquida",,"HIELO SECO ","UN1845","3","Kg","1"
"888004916242","1","L","SUERO SANGUINEO ","CANCER ","54","Sustancia liquida",,"N/A","N/A","0","N/A","1"
"888004915728","2","L","SUERO, PLASMAS, SANGRE","INVESTIGACION ","1","Sustancia liquida",,"HIELO SECO ","UN1845","3","Kg","2"
"888004915728","3","L","SUERO PLASMA SANGRE","INVESTIGACION","1","Sustancia liquida",,"HIELO SECO","UN1845","3","Kg","3"
"888004915728","4","L","SANGRE SUERO PLASMAS ","INVESTIGACION ","1","Sustancia liquida",,"HIELO SECO ","UN1845","3","Kg","4"
"888004917114","0.1","L","SUEROS,PLASMAS","HERPES,VIH","14","Sustancia liquida",,"N/A","UN1845","5","Kg","1"
"888004917249","1","L","SUERO ","ANTIGENOS ANTICUERPOS","65","Sustancia liquida",,"PILAS DE GEL ","NA","0,5","Kg","1"
"888004916175","1","L","SANGRE Y SUERO","INVESTIGACION ","1","Sustancia liquida",,"GEL REFRIGERANTE","N/A","1,2","Kg","1"
"888004918825","1","L","SANGRE ","DIABETES","50","Sustancia liquida",,"HIELO SECO ","1845","40","Kg","3"
"888004918825","1","L","SANGRE ","DIABETES ","35","Sustancia liquida",,"GEL REFRIGERANTE ","N/A","8","Kg","1"
"888004918761","1","L","SANGRE SUERO ORINA ","INVESTIGACION ","1","Sustancia liquida",,"HIELO SECO ","UN1845","3","Kg","1"
"888004920540","1","L","SANGRE ","ORTHOFLAVIRUS TOXOPLASMA ","2","Sustancia liquida",,"GEL REFRIGERANTE ","N/A","0,5","Kg","1"
"888004920540","1","L","SANGRE ","ORTHOFLAVIRUS TOXOPLASMA ","3","Sustancia liquida",,"GEL REFRIGERANTE ","N/A","0,5","Kg","1"
"888004920540","1","L","SANGRE ","ORTHOFLAVIRUS TOXOPLASMA ","3","Sustancia liquida",,"0","0","0","N/A","0"
"888004920540","1","L","SANGRE ","ORTHOFLAVIRUS TOXOPLASMA ","2","Sustancia liquida",,"0","0","0","N/A","0"
"888004920932","1","L","SANGRE","ORTHOFLAVIRUS TOXOSPLASMA ","10","Sustancia liquida",,"GEL REFRIGERANTE","N/A","0,5","Kg","1"
"888004920540","1","L","SANGRE ","ORTHOFLAVIRUS TOXOPLASMA ","2","Sustancia liquida",,"0","0","0","N/A","0"
"888004920932","1","L","SANGRE","ORTHOFLAVIRUS TOXOSPLASMA ","15","Sustancia liquida",,"0","0","0","N/A","0"
"888004919419","1","L","SANGRE SUERO ORINA ","INVESTIGACION ","2","Sustancia liquida",,"GEL REFRIGERANTE","N/A","1,5","Kg","1"
"888004919419","2","L","SANGRE Y SUERO ","INVESTIACION ","2","Sustancia liquida",,"GEL REFRIGERANTE","N/A","1,5","Kg","1"
"888004921874","1","L","SUEROS","ORTHOFLAVIRUS TOXOSPLASMA GONDI VIRUS","155","Sustancia liquida",,"GEL REFRIEGRANTE","N/A","2","Kg","1"
"888004921874","2","L","SUEROS","ORTHOFLAVIRUS TOXOSPLASMA GONDI VIRUS","111","Sustancia liquida",,"GEL REFRIEGRANTE","N/A","2","Kg","2"
"888004921874","2","L","SUEROS","ORTHOFLAVIRUS TOXOSPLASMA GONDI VIRUS","20","Sustancia liquida",,"DRY ICE","UN 1845","1","Kg","1"
"888004923134","1","L","SUERO","ORINA","16","Sustancia liquida",,"GEL PACK","N/A","2","Kg","1"
"888004923134","2","L","SUERO","PAPILOMA","8","Sustancia liquida",,"GEL PACK","N/A","4","Kg","2"
"888004923134","3","L","SUERO","PAPILOMA","5","Sustancia liquida",,"GEL PACK","N/A","3","Kg","3"
"888004923134","4","L","SUERO","CITOLOGIA","10","Sustancia liquida",,"GEL PACK","N/A","2","Kg","4"
"888004923134","5","L","SUERO","ORINA","8","Sustancia liquida",,"GEL PACK ","N/A","4","Kg","5"
"888004923134","6","L","SUERO","PAPILOMA","9","Sustancia liquida",,"GEL PACK","N/A","3","Kg","6"
"888004923134","7","L","SUERO","CITOLOGIA","14","Sustancia liquida",,"GEL PACK ","N/A","2","Kg","7"
"888004923134","8","L","SUERO","CITOLOGIA","20","Sustancia liquida",,"GEL PACK","N/A","4","Kg","8"
"888004923134","9","L","SUERO","ORINA","1","Sustancia liquida",,"HIELO SECO ","UN 1845","3","Kg","9"
"888004923318","1","L","SANGRE","ORTHOFLAVIRUS TOXOSPLASMA ","247","Sustancia liquida",,"GEL REFRIEGRANTE","N/A","2","Kg","1"
"888004923318","1","L","SANGRE","ORTHOFLAVIRUS TOXOSPLASMA ","48","Sustancia liquida",,"DRY ICE","UN 1845","2","Kg","1"
"888004923791","1","L","SUERO","VIH Y HEATITIS","58","Sustancia liquida",,"GEL PACK","N/A","5","Kg","1"
"888004923791","2","L","SECRECION VAGINAL-PLASMA","VIH-VPH","40","Sustancia liquida",,"HIELO SECO ","UN 1845","5","Kg","2"
"888004924036","1","L","SUEROS","ANAS TSH ","50","Sustancia liquida",,"PILAS DE GEL ","NA","3","Kg","1"
"888004924044","1","L","SUEROS","PTH","25","Sustancia liquida",,"HIELO SECO ","1845","2","Kg","1"
"888004924232","1","L","SANGRE, ORINAS ","CITOMEGALOVIRUS, HISTOPLASMA ","250","Sustancia liquida",,"GEL REFRIGERANTE","N/A","1","Kg","1"
"888004924232","2","L","SUEROS, ORINAS ","CRIPTOCOCO, HISTOPLASMA","550","Sustancia liquida",,"HIELO SECO ","1845","4","Kg","1"
"888004924174","1","L","SANGRE, MATERIA FECAL, LIQUIDOS CORPORALES, ORINA ","INVESTIGACION ","2","Sustancia liquida",,"HIELO SECO ","UN1845","3","Kg","1"
"888004924624","1","L","GEL REFRIGERANTE","INVESTIGACION ","2","Sustancia liquida",,"GEL REFRIGERANTE ","N/A ","10","Kg","1"
"888004924680","1","L","SANGRE, MATERIA FECAL LIQUIDOS CORPORALES Y ORINA ","INVESTIGACION ","1","Sustancia liquida",,"GEL REFRIGERANTE","N/A","3","Kg","1"
"888004926051","1","L","SUEROS","HEPATITIS B","142","Sustancia liquida",,"GEL REFRIGERENTE","N/A","3","Kg","1"
"888004926051","1","L","SANGRES","HEPATITIS B","20","Sustancia liquida",,"GEK REFRIGERANTE","N/A","3","Kg","1"
"888004928287","1.23456","L","SUEROS","HEPATITIS B ","149","Sustancia liquida",,"DRY ICE ","1845","9","Kg","123,456"
"888004928287","1.23456","L","ORINAS ","HEPATITIS B ","187","Sustancia liquida",,"DRY ICE ","1845","9","Kg","123,456"
"888004928287","1.23456","L","SANGRE ","HEPATITIS B ","21","Sustancia liquida",,"DRY ICE ","1845","9","Kg","123,456"
"888004928287","1.23456","L","PLASMA","HEPATITIS B ","21","Sustancia liquida",,"DRY ICE ","1845","9","Kg","1,234,567"
"888004928287","1.23456","Kg","HECES","HEPATITIS B ","8","Sustancia liquida",,"DRY ICE ","1845","9","Kg","123,456"
"888004928287","7.8","L","SUEROS","HEPATITIS B ","149","Sustancia liquida",,"GEL REFRIGERANTE","N/A","3","Kg","78"
"888004928287","7.8","L","ORINAS ","HEPATITIS B ","187","Sustancia liquida",,"GEL REFRIGERANTE ","N/A","3","Kg","78"
"888004928287","7.8","Kg","SANGRE","HEPATITIS B ","21","Sustancia liquida",,"GEL REFRIGERANTE ","N/A","3","Kg","78"
"888004928287","7.8","L","PLASMA","HEPATITIS B ","21","Sustancia liquida",,"GEL REFRIGERANTE ","N/A","3","Kg","78"
"888004928287","7.8","Kg","HECES","HEPATITIS B ","8","Sustancia solida",,"GEL REFRIGERANTE","N/A","3","Kg","78"
"888004929917","1","L","SUEROS ","HEPATITIS B ","142","Sustancia liquida",,"GEL REFRIGERANTE ","N/A","3","Kg","1"
"888004929917","1","Kg","SANGRE","HEPATITIS B ","20","Sustancia liquida",,"GEL REFRIOGERANTE","N/A","3","Kg","1"
"888004929917","2","L","SUEROS ","HEPATITIS B ","142","Sustancia liquida",,"GEL REFRIGERANTE","N/A","3","Kg","2"
"888004929917","2","L","SANGRE","HEPATITIS B ","20","Sustancia liquida",,"GEL REFRIGERANTE","N/A","3","Kg","2"
"888004931832","1","L","PLASMA ","FACTOR XIII","1","Sustancia liquida",,"PILAS DE GEL ","N/A","3,37","Kg","1"
"888004936156","1","L","SANGRE ","INFLUENZA  VIRUS ","1","Sustancia liquida",,"DRY ICE ","1845","6","Kg","1"
"888004936156","1","L","SANGRE ","INFLUENZA  VIRUS ","1","Sustancia liquida",,"DRY ICE ","1845","6","Kg","1"
"888004935785","1","Kg","MUESTRAS DE TEJIDO","CANCER","6","Sustancia solida",,"N/A","N/A","0","N/A","1"
"888004937258","1","L","SANGRE"," sospecha de virus","31","Sustancia liquida",,"pilas de gel v","n/a","0","N/A","0"
"888004939191","1","Kg","PLASMA ","RENINA","1","Sustancia solida",,"HIELO SECO ","UN1845","4","Kg","1"
"888004939191","2","Kg","SUERO","ACTH","1","Sustancia solida",,"HIELO SECO","UN185","4","Kg","2"
"888004939449","1","L","SUEROS, ORINAS,ANGRE","RUBEOLA,OTRO CULTIVO,HEMOGLOBINA","149","Sustancia liquida",,"GEL REFRIGERANTE","N/A","2","Kg","1"
"888004939638","1","L","PLASMA","CARGA VIRAL VIH","25","Sustancia liquida",,"HIELO SECO","1845","1","Kg","1"
"888004939755","1","L","SANGRE","INFLUENZA VIRUS","1","Sustancia liquida",,"0","0","0","N/A","0"
"888004940411","1","L","SUEROS,LAVADO BRONQUIAL,SANGRE EDTA,ESPUTOS,PLASMA EDTA","VARICELA,MYCOBACTERIUM,ELECTROFORESIS,HIV","16","Sustancia liquida",,"GEL REFRIGERANTE","N/A","3,5","Kg","1"
"888004940599","1","L","PLASMAS,SUEROS","CARGA VIRAL HB,VITAMINA B12","14","Sustancia liquida",,"HIELO SECO","1845","1","Kg","1"
"888004941011","1","L","SANGRE ORINA ","NA","25","Sustancia liquida",,"GEL ","NA","1","Kg","1"
"888004940029","1","Kg","PLASMA","PK","1","Sustancia solida",,"HIELO SECO ","UN 1845","7","Kg","1"
"888004941516","1","L","SUERS,PLASMAS,SECRECION VAGINAL","HERPES,VIH,VPH","17","Sustancia liquida",,"GEL REFRIGERANTE","N/A","4","Kg","1"
"888004940267","1","L","ORINAS","DIABETES","1","Sustancia liquida",,"HIELO SECO","1845","18,5","Kg","1"
"888004942080 ","1","L","SANGRE","HIPERCOLESTEROLEMIA","4","Sustancia liquida",,"GEL REFRIGERANTE","N/A","0,63","Kg","1"
"888004942143","1","L","SUEROS,PLASMAS","HERES,VIH","23","Sustancia liquida",,"N/A","UN1845","3","Kg","1"
"888004942226","2","L","SANGRE ","DIABETES ","25","Sustancia liquida",,"HIELO SECO ","1845","12","Kg","2"
"888004942226","1","L","SANGRE ","DIABETES ","15","Sustancia liquida",,"GEL REFRIGERANTE ","N/A","4","Kg","1"
"888004942665","1","L","SUEROS ","INVESTIGACION","2","Sustancia liquida",,"HIELO SECO","UN1845","3","Kg","1"
"888004942665","2","L","SUEROS","INVESTIGACION","2","Sustancia liquida",,"HIELO SECO","UN1845","3","Kg","2"
"888004943345","1","L","SUERO SANGRE ","INVESTIGACION ","1","Sustancia liquida",,"GEL REFRIGERANTE","N/A","1,2","Kg","1"
"888004944336","1","L","SANGRE TOTAL","CTDNA","1","Sustancia liquida",,"N/A","N/A","0","N/A","1"
"888004944336","2","L","SUEROS","PRUEBAS DE QUIMICA","3","Sustancia liquida",,"HIELO SECO","1845","3","Kg","2"
"888004944486","3","L","SUERO SANGUINEO","CANCER ","18","Sustancia liquida",,"HIELO SECO ","1845","4","Kg","3"
"888004944076","1","L","SUEROS","HIV","80","Sustancia liquida",,"GEL REFRIGERANTE","N/A","9","Kg","1"
"888004944076","1","L","SANGRES","HIV","23","Sustancia liquida",,"0","0","0","N/A","0"
"888004944076","1","L","ORINAS","E.COLI","19","Sustancia liquida",,"0","0","0","N/A","0"
"888004944076","1","L","LIQUIDOS CORPORALES","TUBERCULOSIS","15","Sustancia liquida",,"0","0","0","N/A","0"
"888004944076","1","L","TEJIDOS","TUBERCULOSIS","15","Sustancia liquida",,"0","0","0","N/A","0"
"888004944076","1","L","ESPUTOS","TUBERCULOSIS","15","Sustancia liquida",,"0","0","0","N/A","0"
"888004944076","1","Kg","MATERIA FECAL ","SALMONELLA","1","Sustancia solida",,"0","0","0","N/A","0"
"888004944486","1","L","suero sanguineo ","cancer ","16","Sustancia liquida",,"N/A ","N/A","0","N/A","1"
"88800494497","1","L","SANGRE SUERO ORINA ","INVESTIFGACION ","1","Sustancia liquida",,"HIELO SECO ","UN845 ","3","Kg","1"
"888004945345","1","L","SANGRE ","ORTHOFLAVIRUS TOXOPLASMA ","302","Sustancia liquida",,"GEL REFRIGERANTE ","N/A","2","Kg","1"
"888004945422","1","L","SUEROS","ORTHOFLAVIRUS TOXOSPLASMA GONDI VIRUS","141","Sustancia liquida",,"GEL REFRIEGRANTE","N/A","2","Kg","1"
"888004945422","2","L","SUEROS","ORTHOFLAVIRUS TOXOSPLASMA GONDI VIRUS","135","Sustancia liquida",,"GEL REFRIEGRANTE","N/A","1","Kg","2"
"888004945422","2","L","SUEROS","ORTHOFLAVIRUS TOXOSPLASMA GONDI VIRUS","80","Sustancia liquida",,"DRY ICE","UN 1845","1","Kg","2"
"888004944076","2","L","SUEROS","HIV","4","Sustancia liquida",,"HIELO SECO","1845","2,68","Kg","2"
"888004944076","2","L","PLASMAS","HIV","15","Sustancia liquida",,"0","0","0","N/A","0"
"888004944076","2","L","ORINAS","E.COLI","1","Sustancia liquida",,"0","0","0","N/A","0"
"888004946032","1","L","CITOMETRIA","CITOMETRIA","3","Sustancia liquida",,"PILAS DE GEL ","NA","0,115","Kg","1"
"888004946032","1","Kg","LAMINAS ","MIELOGRAMA ","5","Sustancia liquida",,"PILAS DE GEL ","NA","0,115","Kg","1"
"888004945511","1","L","SANGRE SUERO ORINA ","INVESTIGACION ","2","Sustancia liquida",,"GEL REFRIGERANTES ","N/A","1,5","Kg","1"
"888004945511","2","Kg","SANGRE SUERO ORINA ","INVESTIGACION","2","Sustancia liquida",,"GEL REFRIGERANTE","N/A","1,5","Kg","1"
"888004946681","1","Kg","CARIOTIPO","SOSPECHA LINFOMA","4","Sustancia solida",,"PILAS DE GEL","NA","0,5","Kg","1"
"888004946681","1","Kg","BLOQUE ","SOSPECHA LINFOMA","21","Sustancia solida",,"PILAS DE GEL ","NA","0,5","Kg","1"
"888004946681","1","Kg","LAMINAS","SOSPECHA LINFOMA","21","Sustancia solida",,"PILAS DE GEL ","NA","0,5","Kg","1"
"888004946853","1","L","SUERO","ORINA","16","Sustancia liquida",,"GEL PACK","N/A","2","Kg","1"
"888004947221","1","L","SUEROS","ANAS TSH ","50","Sustancia liquida",,"PILAS DE GEL ","NA","2,5","Kg","1"
"888004947076","1","L","SANGRE","ORTHOFLAVIRUS TOXOSPLASMA GONDI VIRUS","3","Sustancia liquida",,"GEL REFRIEGRANTE","N/A","0,5","Kg","1"
"888004947076","1","L","SANGRE","ORTHOFLAVIRUS TOXOSPLASMA GONDI VIRUS","2","Sustancia liquida",,"GEL REFRIEGERANTE","N/A","0,5","Kg","1"
"888004947076","1","L","SANGRE","ORTHOFLAVIRUS TOXOSPLASMA GONDI VIRUS","6","Sustancia liquida",,"GEL REFRIEGRANTE","N/A","0,5","Kg","1"
"888004947076","1","L","SANGRE","ORTHOFLAVIRUS TOXOSPLASMA GONDI VIRUS","10","Sustancia liquida",,"0","0","0","N/A","0"
"888004947568","1","L","SANGRE ","ORTHOFLAVIRUS TOXOPLASMA ","3","Sustancia liquida",,"GEL REFRIGERANTE ","N/A","0,5","Kg","1"
"888004947568","1","L","SANGRE ","ORTHOFLAVIRUS TOXOPLASMA ","2","Sustancia liquida",,"GEL REFRIERANTE ","N/A","0,5","Kg","1"
"888004946853","2","L","SUERO","PAPILOMA","8","Sustancia liquida",,"GEL PACK ","N/A","4","Kg","2"
"888004947568","1","L","SANGRE ","ORTHOFLAVIRUS TOXOPLASMA ","3","Sustancia liquida",,"0","0","0","N/A","0"
"888004947568","1","L","SANGRE ","ORTHOFLAVIRUS TOXOPLASMA ","4","Sustancia liquida",,"0","0","0","N/A","0"
"888004947568","1","L","SANGRE ","ORTHOFLAVIRUS TOXOPLASMA ","2","Sustancia solida",,"0","0","0","N/A","0"
"888004946853","3","L","SUERO","PPAPILOMA","5","Sustancia liquida",,"GEL PACK ","N/A","3","Kg","3"
"888004946853","4","L","SUERO ","CITOLOGIA","10","Sustancia liquida",,"GEL PACK","N/A","2","Kg","4"
"888004946853","5","L","SUERO ","ORINA","8","Sustancia liquida",,"GEL PACK","N/A","4","Kg","5"
"888004946853","6","L","SUERO ","PAPILOMA","9","Sustancia liquida",,"HIELO SECO ","UN 1845","3","Kg","6"
"888004947895","1","L","SANGRE, MATERIA FECAL, LIQUIDOS CORPORALES Y ORINA ","INVESTIGACION","3","Sustancia liquida",,"HIELO SECO- DRY ICE ","UN1845","3","Kg","1"
"888004948367","1","L","SUEROS","PERFIL LIPIDICO","450","Sustancia liquida",,"GELPACK","N/A","1","Kg","1"
"888004948494","1","L","SUERO","HEPATITIS- VIH","58","Sustancia liquida",,"GEL PACK","N/A","5","Kg","1"
"888004948494","2","L","SEGRECION VAGINAL - PLASMA","VIH","19","Sustancia liquida",,"GEL PACK","N/A","5","Kg","2"
"888004948367","2","L","SANGRE TOTAL","HEMOGLOBINA","300","Sustancia liquida",,"GELPACK","N/A","1","Kg","1"
"888004948546","1","L","SANGRE, MATERIA FECAL, LIQUIDOS CORPORALES, ORINA ","INVESTIGACION ","2","Sustancia liquida",,"GEL REFRIGERANTE","N/A","8","Kg","1"
"888004948728","1","L","SUEROS","HEMOCULTIVOS","400","Sustancia solida",,"HIELO SECO","UN1845","4","Kg","1"
"888004949670","2","L","SANGRE, SUEROS , ORINAS, SUEROS ","CITOMEGALOVIRUS, DENGUE, HISTOPLASMA, CRIPTOCOCO","850","Sustancia liquida",,"GEL REFRIGERANTE ","N/A","2","Kg","2"
"888004949670","1","L","ORINAS, SANGRE","HISTOPLASMA , TRASLOCACION BCR ABL","350","Sustancia liquida",,"HIELO SECO ","1845","4","Kg","1"
"888004951784","1","L","SUEROS","HEPATITIS B","142","Sustancia liquida",,"GEL REFRIGERANTE","N/A","3","Kg","1"
"888004951784","1","L","SANGRES ","HEPATITIS B","20","Sustancia liquida",,"GEL REFRIGERANTE","N/A","3","Kg","1"
"888004953990","1.234","L","SUEROS","HEPATITIS B","239","Sustancia liquida",,"DRY ICE","1845","9","Kg","1,234"
"888004953990","1.234","L","ORINAS","HEPATITIS B","30","Sustancia liquida",,"DRY ICE","1845","9","Kg","1,234"
"888004953990","1.234","L","SANGRE","HEPATITIS B","34","Sustancia liquida",,"DRY ICE","1845","9","Kg","1,234"
"888004953990","1.234","L","PLASMA","HEPATITIS B","34","Sustancia liquida",,"DRY ICE","1845","9","Kg","1,234"
"888004953990","1.234","Kg","HECES ","HEPATITIS B","13","Sustancia solida",,"DRY ICE","1845","9","Kg","1,234"
"888004953990","5","L","SUEROS","HEPATITIS B","239","Sustancia liquida",,"GEL REFRIGERANTE","N/A","3","Kg","5"
"888004953990","5","L","ORINAS","HEPATITIS B","30","Sustancia liquida",,"GEL REFRIGERANTE","N/A","3","Kg","5"
"888004953990","5","L","SANGRE","HEPATITIS B","34","Sustancia liquida",,"GEL REFRIGERANTE","N/A","3","Kg","5"
"888004953990","5","L","PLASMA","HEPATITIS B","34","Sustancia liquida",,"GEL REFRIGERANTE","N/A","3","Kg","5"
"888004953990","5","Kg","HECES ","HEPATITIS B","13","Sustancia solida",,"GEL REFRIGERANTE","N/A","3","Kg","5"
"888004955718","1.2","L","SUEROS","HEPATITIS B","142","Sustancia liquida",,"GEL REFRIGERANTE","N/A","3","Kg","12"
"888004955718","1.2","L","SANGRES","HEPATITIS B","20","Sustancia liquida",,"GEL REFRIGERANTE","N/A","3","Kg","12"
"888004955897","1","L","SANGRE ","TOXOPLASMA GONDII VIRUS EPSTEIN BARR","170","Sustancia liquida",,"GEL REFRIGERANTE ","N/A","2","Kg","1"
"888004955897","2","L","SANGRE ","TOXOPLASMA GONDII VIRUS EPSTEIN BARR","30","Sustancia liquida",,"GEL REFRIERANTE ","N/A","2","Kg","1"
"888004960404","1","L","MEDULA OSEA","CITOMETRIA DE FLUJO ","1","Sustancia liquida",,"PILAS DE GEL ","NA","0,5","Kg","1"
"888004960897","1","Kg","MUESTRA TEJIDO","CANCER","6","Sustancia solida",,"NA","NA","0","N/A","1"
"888004963030","1","L","SANGRE","INFLUENZA  VIRUS ","1","Sustancia liquida",,"DRY ICE ","1845","4","Kg","1"
"888004963030","1","L","SANGRE","INFLUENZA  VIRUS ","1","Sustancia liquida",,"DRY ICE ","1845","2","Kg","1"
"888004963056","2","L","SANGRE ","SOSPECHA VIRUS","28","Sustancia liquida",,"HIELO SECO","1845","4","Kg","2"
"888004963056","1","L","SANGRE ","SOSPECHA VIRUS","28","Sustancia liquida",,"PILAS DE GEL ","NA","2","Kg","1"
"888004963056","1","L","ORINA ","SOSPECHA VIRUS ","3","Sustancia liquida",,"PIAS DE GEL ","NA","2","Kg","1"
"888004963056","2","L","ORINA ","SOSPECHA VIRUS ","2","Sustancia liquida",,"HIELO SECO ","1845","4","Kg","2"
"888004964315","1","L","SUERO,ORINA,SANGRE","RUBEOLAOTRO CULTIVO,HEMOGLOBINA","157","Sustancia liquida",,"GEL REFRIGERANTE","N/A","2","Kg","1"
"888004964372","1","L","SUERO0 Y PLASMAS ","INVESTIGACION ","1","Sustancia liquida",,"HIELO SECO ","N/A","2","Kg","1"
"888004964556","1","Kg","PLASMA ","RENINA","1","Sustancia solida",,"HIELO SECO ","UN1845","4","Kg","1"
"888004964556","2","L","SANGRE TOTAL","CTDNA","1","Sustancia liquida",,"N/A","N/A","0","N/A","2"
"888004964556","3","L","SANGRE TOTAL","CTDNA","1","Sustancia liquida",,"N/A","N/A","0","N/A","3"
"888004964556","4","L","SANGRE TOTAL","CTDNA","2","Sustancia liquida",,"N/A","N/A","0","N/A","4"
"888004964935","1","L","SANGRE","INFLUENZA VIRUS","1","Sustancia liquida",,"DRY ICE","UN 1845","3","Kg","1"
"888004964935","1","L","SANGRE","INFLUENZA VIRUS","1","Sustancia liquida",,"GEL REFRIEGRANTE","N/A","0,5","Kg","1"
"888004965717","1","L","SANGRE","DIABETES","20","Sustancia liquida",,"HIELO SECO ","1845","16","Kg","1"
"4965980","1","L","SANGRE","NA","10","Sustancia liquida",,"HIELO SECO ","1845","2","Kg","1"
"888004965717","2","L","SANGRE","DIABETES","25","Sustancia liquida",,"HIELO SECO ","1845","4","Kg","2"
"888004965717","3","L","SANGRE","DIABETES","10","Sustancia liquida",,"GEL REFRIGERANTE ","N/A","4","Kg","3"
"888004966093","1","L","SUEROS,LAVADO BRONQUIAL,SANGRE EDTA,ESPUTOS,PLASMA EDTA","VARICELA,MYCOBACTERIUM,ELECTRPFORESIS,HIV","14","Sustancia liquida",,"GEL REFRIGERANTE","N/A","2","Kg","1"
"888004966165","1","L","SANGRE ORINAS","NA","15","Sustancia liquida",,"GEL","NA","1","Kg","1"
"888004961779","1","L","SANGRE","HIPERCOLESTEROLEMIA","9","Sustancia liquida",,"GEL REFRIGERANTE","N/A","1,73","Kg","1"
"888004965781","1","L","SUERO","DIABETES","2","Sustancia liquida",,"HIELO SECO","1845","18,4","Kg","1"
"888004965781","1","L","SANGRE","DIABETES","2","Sustancia liquida",,"HIELO SECO","1845","7,2","Kg","2"
"888004967117","1","L","SUEROS,PLASMAS,SECRECION VAGINAL","HERPES,VIH,VPH","13","Sustancia liquida",,"GEL REFRIGERANTE","N/A","4","Kg","1"
"888004967781","1","L","SUERO ","ECOLIS ","20","Sustancia liquida",,"GEL REFRIGERANTE ","N/A","1,5","Kg","1"
"888004967836","1","L","SUEROS,PLASMAS","HERPES,VIH","10","Sustancia liquida",,"N/A","UN1845","2","Kg","1"
