"Número de guía","Número de bulto que se va a agregar","Unidad de medida","Detalle de la sustancia UN3373","Detalle del patógeno/virus","Cantidad de embalajes interiores","Estado físico","Cantidad neta por embalaje interior","Detalle de sustancia refrigerante o que sirve para mantener la viabilidad","Número ONU de la sustancia refrigerante si es MP ","Cantidad neta por bulto","Unidad de medida ","Número de bulto"
"888004543682","1","L","SANGRE","ORTHOFLAVIRUS TOXOSPLASMA ","233","Sustancia liquida",,"GEL REFRIEGRANTE","N/A","2","Kg","1"
"888004543682","1","L","SANGRE","ORTHOFLAVIRUS TOXOSPLASMA ","40","Sustancia liquida",,"GEL REFRIGERANTE","N/A","1","Kg","1"
"888004568556","1","L","SANGRE","INFLUENZA VIRUS","1","Sustancia liquida",,"DRY ICE","UN 1845","4","Kg","1"
"888004568556","2","L","SANGRE","INFLUENZA VIRUS","1","Sustancia liquida",,"DRY ICE","UN 1845","2","Kg","1"
"888004544197","1","Kg","SUEROS","ORTHOFLAVIRUS TOXOSPLASMA GONDI VIRUS","120","Sustancia liquida",,"GEL REFRIEGRANTE","N/A","2","Kg","1"
"888004537507","1","L","SUEROS ","HIV","57","Sustancia liquida",,"GEL REFRIGERANTE ","N/A ","4.97 ","Kg","1"
"888004579653","1","L","SANGRE ","CANCER ","16","Sustancia liquida",,"HIELO SECO ","1845","5","Kg","1"
"888004537507","1","L","SANGRE ","HIV ","29","Sustancia liquida",,"N/A","NA","0","Kg","1"
"888004579653","2","L","SANGRE","CANCER ","4","Sustancia liquida",,"N/A","N/A","N/A","N/A","1"
"888004537507","1","L","ORINAS ","E.COLI ","19","Sustancia liquida",,"0","0","0","N/A","0"
"888004537507","1","L","LIQUIDOS CORPORALES ","TUBERCULOSIS ","13","Sustancia liquida",,"0","0","0","N/A","0"
"888004537507","1","L","TEJIDOS ","TUBERCULOSIS ","9","Sustancia liquida",,"0","0","0","N/A","0"
"888004537507","1","L","ESPUTOS ","TUBERCULOSIS ","7","Sustancia liquida",,"0","0","0","N/A","0"
"888004576109","1","L","SANGRE SUERO ORINA ","INVESTIGACION ","2","Sustancia liquida",,"GEL REFRIGERANTE","N/A","1,5","Kg","1"
"888004537507","1","Kg","MATERIA FECAL ","SALMONELLA ","13","Sustancia solida",,"0","0","0","N/A","0"
"888004537507","2","L","SUERO ","HIV ","28","Sustancia liquida",,"0","0","0","N/A","0"
"888004537507","2","L","PLASMAS ","HIV ENF AUTOINMUNES ","12","Sustancia liquida",,"0","0","0","N/A","0"
"888004576109","2","L","SANGRE SUERO ORINA ","INVESTIGACIONES","2","Sustancia liquida",,"GEL REFRIGERANTE","N/A","1.5","Kg","2"
"888004537507","2","L","ORINAS ","E.COLI ","1","Sustancia liquida",,"HIELO SECO ","1845","2,77","Kg","2"
"888004580427","1","L","SANGRE","ORTHOFLAVIRUS TOXOSPLASMA ","243","Sustancia liquida",,"GEL REFRIEGRANTE","N/A","3","Kg","1"
