"Número de guía","Número de bulto a agregar","Número del requisito del contenedor específico que le aplica al bulto","Cantidad de animales al interior del bulto","Especie / Tipo (Clase) del animal","Nombre común","Nombre científico","Número apéndice de la CITES","Raza (Únicamente aplica para perros y gatos. Para otro tipo de animal diligencie ""N/A"")","Edad (meses)","¿El animal tiene alguna característica/condición especial en su estado de salud? Ejemplo: Parálisis, heridas, etc.","Diligencie la característica/condición especial en su estado de salud","Propósito del transporte","Peso neto (Kg) - Peso de(l) (los) animal(es)","Peso bruto (Kg) - Peso de(l) (los) animal(es) mas el contenedor","Sexo"
"888005616077","1","1","1","Mamíferos","PERRO","CANIS LUPUS FAMILIARIS ","No aplica","SCHNAUZER MINIATURA ","3","No","0","No comercial","2.3","5","Hembra"
"5640791","1","51","255","Peces","peces","pisces spp ","No aplica","n/a","1","No","n/a","No comercial","0.001","11","N/A"
"5640791","2","51","255","Peces","peces truchas","pisces spp ","No aplica","n/a","1","No","n/a","No comercial","0.001","11","N/A"
"5640791","3","51","255","Peces","pesces truchas","pisces spp ","No aplica","n/a","1","No","n/a","No comercial","0.001","11","N/A"
"5640791","4","51","255","Peces","peces truchas ","pisces spp ","No aplica","n/a","1","No","n/a","No comercial","0.001","11","N/A"
"5640791","5","51","255","Peces","peces truchas","pisces spp ","No aplica","n/a","1","No","n/a","No comercial","0.001","11","N/A"
"5640791","6","51","255","Peces","peces truchas","pisces spp ","No aplica","n/a","1","No","n/a","No comercial","0.001","11","N/A"
"5640791","7","51","255","Peces","peces truchas","pisces spp ","No aplica","n/a","1","No","n/a","No comercial","0.001","11","N/A"
"5640791","8","51","255","Peces","peces truhas","pisces spp ","No aplica","n/a","1","No","n/a","No comercial","0.001","11","N/A"
"888005645047","5","1","5","Mamíferos","GATO ","FELIS CATUS ","No aplica","CRIOLLA ","7.24","No","N/A","No comercial","15","22.6","Hembra"
"888005645548","5","1","12","Mamíferos","GATO ","FELIS CATUS","No aplica","CRIOLLA ","4.12","No","N/A","No comercial","12.1","21.6","Hembra"
"888005670154","1","1","3","Mamíferos","GATO ","FELIS CATUS ","No aplica","CRIOLLA ","12","No","N/A","No comercial","11","14","Hembra"
"888005672248","5","1","14","Mamíferos","GATOS","FELIS CATUS ","No aplica","CRIOLLO ","4.5","No","N/A","No comercial","11.65","24.6","Hembra"
"888005697449","5","1","6","Mamíferos","GATO ","FELIS CATUS ","No aplica","CRIOLLA ","12.14","No","N/A","No comercial","18","23","Hembra"
"5696357","1","1","1","Mamíferos","PERRO","CANIS FAMILIARIS","No aplica","DOBERMAN","23","No","BUEN ESTADO DE SALUD","No comercial","39","45","Macho"
"888005698352","5","1","14","Mamíferos","GATO","FELIS CATUS ","No aplica","CRIOLLO ","4.12","No","N/A","No comercial","15","18.6","Macho"
"5697185","1","1","1","Mamíferos","PERRO ","CANIS FAMILIARIS ","No aplica","POMERANIA ","24","No","BEN ESTADO DE SALUD ","No comercial","1.5","6","Macho"
"888005698776","5","1","5","Mamíferos","GATO ","FELIS CATUS ","No aplica","CRIOLLA ","12.14","Sí","1Deformidad en lasextremidades posteriores ( mienbro pelvico torcidos) 1 ceguera total permanente,debido a enucleacion bilateral (extirpacion quirurguica de ambos glóbulos oculares) epesar de su condicion se encuentran clinicamente estable y apto para via","No comercial","15","20.1","Macho"
"5696727","1","1","1","Mamíferos","PERRO ","CANIS FAMILIARIS","No aplica","AJMERIN BULLY ","48","No","BUEN ESTADO ","No comercial","34","47","Macho"
"888005696767","5","1","12","Mamíferos","GATOS","FELIS CATUS ","No aplica","CRIOLLOS ","4","No","N/A","No comercial","15","25","Macho"
"5702978","1","18","2","Aves","GALLOS","GALLUS GALLUS DOMSTICUS","No aplica","NA","18","No","BUEN  ESTADO DE SALUD ","No comercial","1.5","7","Macho"
"5702978","2","18","6","Aves","GALLO ","GALLUS GALLUS DOMESTICUS ","No aplica","N/A","14","No","BUEN ESTADO DE SALUD ","No comercial","1.5","12","Hembra"
"888005704872","1","1","3","Mamíferos","GATOS COMUN","FELIS CATUS","No aplica","MESTIZOS","4","No","N/A","No comercial","3","7","Hembra"
