"Número de guía","Número de bulto a agregar","Tipo de embalaje","Detalle naturaleza del envío","Peso neto del hielo seco (Kg)","Peso bruto del bulto (Kg)"
"4713035","1","CAVA DE ICOPOR ","TEJIDO OSEO ","8","12"
"888004714610","1","caja nevera","hielo seco","9.3","9.6"
"888004720042","2","CAJA DE CARTON ","MUESTRA BIOLOGICA CATEGORIA B ","2","7.5"
"888004721756","1","CARTON ","DRI ICE - HIELO SECO ","3","4"
"888004725366","1","CAJA NEVERA","HIELO SECO","2.42","2.5"
"888004725715","1","CARTON","DRI ICE - HIELO SECO ","3","4"
"888004727176","2","CAJA DE CARTON ","SUSTANCIAS BIOLOGICAS CAT B ","24","46.4"
"888004728404","2","CAJA DE CARTON ","MUESTRA BIOLOGICA CAT B","10","10.5"
"888004730555","7","ICOPOR ","DRY ICE","3","20"
"888004730677","1","caja carton e icopor","hemocultivos","4","7"
"888004732214","1","CAJA DE CARTON","SUSTANCIAS BIOLOGICAS CT B","4","7.6"
"888004732591","1","CARTON ","DRI ICE - HIELO SECO ","6","10"
"4751283","1","CAJA DE CARTON ","MUESTRAS BIOLOGICAS CT B ","2","2"
"888004750840","3","ICOPOR","DRY ICE","4","8"
"888004750840","4","ICOPOR","DRY ICE","4","8"
"888004754470","1","CARTON ","DRI ICE - HIELO SECO ","3","4"
"888004753765","1","NEVERA","MUESTRAS BIOLOGICAS ","4","5"
"888004755311","1","CAJA NEVERA","HIELO SECO","7.3","7.5"
"888004757845","1","CARTON PRENSADO","DIOAXIDO DE CARBONO","7","7.4"
"888004758104","1","CAJA DE ICOPOR","MEDICAMENTO","6","14.4"
"888004759584","9","POLIEXTIRENO EXPANDIDO","DIOXIDO DE CARBONO ","3","3.3"
"8884757997","1","CAJA DE ICOPOR","MEDICAMENTO","4","12.8"
"888004760665","1","CARTON ","DRI ICE - HIELO SECO ","7","13"
"888004761957","1","CAJAS DE CARTON","SUTANCIAS BIOLOGICAS CT B","4","12.9"
"888004761193","1","POLIEXTIRENO EXPANDIDO","DIOXIDO DE CARBONO","7","7.2"
"4765043","1","FIBREBOARD BOX ","HIELO SECO ","4","4.85"
"888004779014","1","CAVA EN CAJA DE CARTON","MUESTRAS BIOLOGICAS","1","5"
"888004781022","1","CAVA EN CAJA DE CARTON","MUESTRAS BIOLOGICAS","1","5"
"888004781044","2","CAJA DE CARTON ","SUSTANCIAS BIOLOGICAS CAT B ","24","50.6"
"888004779634","3","ICOPOR","DRY ICE","4","4.7"
"888004782143","2","CAJA NEVERA","HIELO SECO","2.51","2.6"
"888004779506","1","CAJA NEVERA","HIELO SECO","2.59","2.6"
"888004779918","1","CAJA NEVERA","HIELO SECO","15","15.2"
"888004779918","2","CAJA NEVERA","HIELO SECO","18","18.3"
"888004783830","1","CARTON ","DRI ICE - HIELO SECO ","3","4"
"888004782134","1","nevera","MUESTRAS BIOLOGICAS ","3","4"
"888004787201","1","CAJA CARTON E ICOPOR","HEMOCULTIVOS","4","5.6"
"888004787129","1","ICOPOR ","DIOXIDO DE CARBONO CONGELADO","3","3.3"
"888004789690","1","CARTON ","DRI ICE - HIELO SECO ","5","8"
"4790592","1","NEVERA DE ICOPOR ","MEDCAMENTOS","3","5.65"
"888004794230","1.23456","CAJA DE CARTON E ICOPOR","SUSTANCIAS BIOLOGICAS","9","11"
"888004802177","1","CAJA DE CARTO","DRY ICE","6","9.8"
"888004803533","1","ICOPOR","DRY ICE","4","4"
"888004805398","1","CAJA DE CARTON ","SANGRE ","2","4.8"
"888004806882","1","CAJA NEVERA ","HIELO SECO","18.8","18.9"
"888004806882","2","CAJA NEVERA ","HIELO SECO","18.3","18.4"
"888004807869","1","CARTON ","DRI ICE - HIELO SECO ","3","4"
"4808732","1","CAJA DE CARTON ","MUESTRAS BIOLOGICAS CTB ","2","2"
"888004808091","1","NEVERAS ","MUESTRAS BIOLOGICAS ","3","4"
"888004806166","1","CAJA NEVERA ","HIELO SECO","3.6","3.7"
"888004808622","2","CAJA DE CARTON ","SUSTANCIAS BIOLOGICAS CAT B ","24","48"
"888004805933","1","CAJA NEVERA ","HIELO SECO","3.8","3.9"
"888004812983","2","CAJA NEVERA ","HIELO SECO","5.71","6.21"
"888004812647","1","CAVA DE ICOPOR","SANGRE","2","10"
"888004810886","1","CARTON RENSADO ","DIOXIDO DE CARBONO CONGELADO","6","6.3"
"888004813788","1","POLIEXTRIRENO EXPNADIDO ","DIOXIDO DE CARBONO","3","3.3"
"888004815533","1","CARTON ","DRI ICE - HIELO SECO ","4","18"
"888004816209","1","CAJA DE HICOPOR ","MEDICAMENTOS ","4","6.5"
"888004816223","1","CAJA DE ICOPOR "," MEDICAMENTOS ","4","13.2"
"888004816227","1","CAJA DE ICOPOR ","MEDICAMENTOS ","4","12"
"888004816240","1","CAJA DE ICOPOR ","MEDICAMENTOS ","4","7.8"
"888004816281","1","CAJA DE CARTON ","MEDICAMENTO ","4","5"
"888004816288","2","CAJA DE ICOPOR","MEDICAMENTO","8","13"
"888004816220","1","CAVA DE ICOPOR","SUEROS","1","8"
"888004816315","2","CAJA DE ICOPOR","MEDICAMENTOS","8","16"
"888004816319","2","CAJA DE  ICOPOR ","MEDICAMENTOS","8","23.8"
"888004816333","1","CAJA DE ICOPOR ","MEDICAMENTO","4","7.5"
"888004816301","3","CAJA DE ICOPOR","MEDICAMENTO ","20","78.45"
"888004816097","1","CAVA DE ICOPOR ","SUEROS ","1","8"
"888004829571","1","SANGRE","INFLUENZA VIRUS","7","7.8"
"888004833432","1","CAVA EN CAJA DE CARTON","MUESTRAS BIOLOGICAS","1","4"
"888004834178","1","CAVA EN CAJA DE  CARTON","MUESTRAS BIOLOGICAS","1","4"
"888004833363","1","CAJA DE CARTON ","MUESTRA BIOLOGICA CAT B ","4","9.6"
"888004837307","1","NEVERA","MUETRAS BIOLOGICAS ","5","6"
"888004839473","1","CARTON ","DRI ICE - HIELO SECO ","3","4"
"888004839760","2","CAJA NEVERA","HIELO SECO","2.57","2.72"
"888004839865","1","CAJA DE CARTONZ","SANGRE","2","9.8"
"888004841715","1","caja carton e icopor","hemocultivos","4","6.16"
"888004842141","1","POLIEXTIRENO EXPANDIDO ","DIOXIDO DE CARBONO CONGELADO","3","3.1"
"888004843296","1","CARTON ","DRI ICE - HIELO SECO ","3","10"
"888004847584","1.23456","CAJA CARTON E HICOPOR","SUSTANCIAS BIOLOGICAS","9","11"
"888004857397","1","CARTON ","DRI ICE - HIELO SECO ","2","3"
"888004857452","1","NEVERA","MUESTRAS BIOLOGICAS ","7","8"
"888004858422","1","CARTON ","DRI ICE - HIELO SECO ","6","11"
"888004859385","1","POLIEXTIRENO EXPANDIDO","DIOXIDO DE CARBONO CONGELADO","3","3.3"
"4865875","1","CABA DE ICOPOR","HIELO SECO","7","8.1"
"888004873736","1.234","CAJA CARTON E HICOPOR","SUSTANCIAS BIOLOGICAS","9","10"
"888004890806","2","CAJA DE CARTON ","SUSTANCIAS BIOLOGICAS CAT B ","20","41.1"
"888004892169","1","CAJA DE CARTON PRENSADA","INVESTIGACION","3","4"
"888004896344","1","CAJA DE CARTON PRENSADO","INVESTIGACION ","7","13"
"888004892611","2","CAJA NEVERA","HIELO SECO","2.72","2.86"
"888004896448","1","ICOPOR","DIOXIDO DE CARBONO CONGELADO","3","3.3"
"4897543","1","CARTON PRENSADO","HIELO SECO","4","10"
"888004897544","1","CARON E ICOPOR","SUEROS","4","6.46"
"888004897812","1","CAJA DE CARTON ","MUESTRA BIOLOGICA CAT B ","4","8.3"
"888004912199","1","CAJA DE CARTON ","SANGRE ","4","5"
"888004912199","1","CAJA DE CARTON ","SANGRE ","2","5"
"888004912293","1","CAJA DE CARTON","HIELO SECO","2","2.5"
"888004913510","1","CARTON PRENSADO ","DIOXIDO DE CARBONO","8","8"
"888004915722","1","CARTON PRENSADO ","DIOXIDO DE CARBONON CONGELADO ","4","4.3"
"888004915722","2","CARTON PRENSADO ","DIOXIDO DE CARBONO CONGELADO ","4","4.3"
"888004915722","3","CARTON PRENSADO ","DIOXIDO DE CARBONO","4","4.4"
"111104915665 ","1","CAJA CARTON ","MUESTRAS BIOL CAT B ","2","7"
"888004913029","1","PLIESTIRENO EXPANDIDO","TEJIDOS","1","7.4"
"888004915728","1","CAJA DE CARTON PRENSADO","INVESTIGACION","3","4"
"888004915728","2","CAJA DE CARTON PRENSADO","INVESTIGACION ","3","4"
"888004915728","4","CAJA DE CARTON PRENSADO","INVESTIGACION ","3","4"
"888004915728","3","CAJA DE CARTON PRENSADO","INVESTIGACION ","3","4"
"888004916242","3","CAJA DE CARTON ","SUSTANCIAS BIOLOGICAS CAT B ","3","9.1"
"888004917114","1","NEVERA","MUESTRAS BIOLGOGICAS ","5","6"
"888004918825","3","CAJA DE CARTON ","SUSTANCIAS BIOLOGICAS CAT  B ","40","61.1"
"888004918761","1","CAJA DE CARTON PRENSADO","INVATIGACION ","3","4"
"888004921874","1","CAJA DE ICOPOR ","DRY ICE","1","9.4"
"888004923318","1","CAJA DE CARTON","DRY ICE","2","10.2"
"888004923134","1","POLIEXTIRENO EXPANDIDO ","DIOIDO DE CARBONO CONGELADO","3","3.3"
"888004923791","1","CARTON PRENSADO","DIOXIDO DE CARBONO CONGELADO","5","5.5"
